"bf","race2","income","educ","female","age","partyid","region","vote1a","vote2a","vote1b","vote2b","pt"
"Non-Recipient","Other",NA,3,1,56,1,"Northeast",0,0,NA,NA,0
"Recipient","Other",NA,4,0,30,1,"Northeast",1,1,"Opposition","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,1,1,60,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",2,3,1,24,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,2,0,75,1,"Northeast",1,1,"Incumbent","Opposition",0
"Non-Recipient","Other",3,3,0,51,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",3,3,0,29,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",3,2,0,20,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",3,2,0,42,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",3,2,1,71,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",3,3,1,46,1,"Northeast",0,1,NA,"Incumbent",0
"Non-Recipient","Afro-Brazilian",1,3,1,35,1,"Northeast",1,1,"Incumbent","Opposition",0
"Recipient","Afro-Brazilian",3,2,1,23,1,"Northeast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",2,2,0,43,1,"Northeast",1,0,"Opposition",NA,0
"Non-Recipient","Other",3,1,1,32,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",1,2,1,28,1,"Northeast",1,1,"Opposition","Incumbent",0
"Recipient","Afro-Brazilian",2,2,0,23,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",1,2,1,27,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",NA,3,1,48,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",NA,2,1,45,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",2,1,0,57,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Other",1,2,1,19,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,3,0,31,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,1,1,41,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",1,3,1,37,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,3,1,81,1,"Northeast",0,0,NA,NA,0
"Non-Recipient","Afro-Brazilian",1,1,0,54,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",NA,5,1,61,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",4,5,1,27,1,"Northeast",1,NA,"Opposition",NA,0
"Recipient","Other",4,4,0,71,1,"Northeast",0,0,NA,NA,0
"Non-Recipient",NA,3,2,0,50,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Other",3,3,0,24,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",2,3,1,19,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",3,2,0,27,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Other",2,2,0,35,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",2,1,0,64,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",2,2,1,19,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",2,3,0,30,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",2,2,0,42,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",NA,1,1,44,1,"Northeast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",2,3,1,28,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",3,1,0,75,1,"Northeast",0,1,NA,"Incumbent",0
"Non-Recipient","Afro-Brazilian",2,NA,0,43,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",2,3,1,34,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,4,1,26,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",2,2,1,34,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,3,1,27,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",4,3,1,35,1,"Northeast",1,0,"Opposition",NA,0
"Non-Recipient","Other",4,3,0,30,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",3,2,0,51,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",4,3,1,29,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",3,4,0,36,1,"Northeast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",2,1,1,39,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",2,3,1,22,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Other",1,1,0,56,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",2,3,0,33,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",3,3,1,38,1,"Northeast",1,1,"Opposition","Incumbent",0
"Recipient","Afro-Brazilian",2,2,0,36,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",2,4,1,29,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,4,0,47,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",1,1,1,22,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",2,NA,0,69,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,3,1,48,1,"Northeast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",3,3,0,21,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,3,1,52,1,"Northeast",0,1,NA,"Opposition",0
"Recipient","Afro-Brazilian",1,2,1,29,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,3,1,32,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,4,1,28,1,"Northeast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",3,1,1,39,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",3,2,0,33,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",4,4,1,28,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,2,0,34,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",3,3,0,31,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",3,2,1,22,1,"Northeast",0,0,NA,NA,0
"Non-Recipient","Afro-Brazilian",2,NA,1,67,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",3,1,0,22,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",2,NA,0,43,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",2,1,0,69,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",4,3,0,46,1,"Northeast",1,1,"Opposition","Opposition",0
"Recipient","Other",2,1,1,46,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,4,1,37,1,"Northeast",0,1,NA,"Opposition",0
"Non-Recipient","Other",4,4,0,24,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,3,1,71,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",2,3,0,27,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",3,2,0,49,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",2,3,1,39,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,4,0,22,1,"Northeast",1,0,"Opposition",NA,0
"Non-Recipient","Afro-Brazilian",NA,1,0,35,1,"Northeast",0,0,NA,NA,0
"Recipient","Afro-Brazilian",3,2,1,23,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",2,3,1,34,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,3,0,18,1,"Northeast",0,1,NA,"Incumbent",0
"Recipient","Afro-Brazilian",1,3,1,24,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Other",2,1,1,51,1,"Northeast",0,0,NA,NA,0
"Non-Recipient","Afro-Brazilian",1,2,0,71,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",2,3,0,41,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",2,2,1,41,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,2,0,64,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",4,4,0,28,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Other",3,3,0,46,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",2,3,1,32,1,"Northeast",1,1,"Opposition","Opposition",0
"Recipient","Other",1,3,1,21,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",2,2,1,53,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",1,2,0,30,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",3,3,0,50,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",3,1,1,20,1,"Northeast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",4,1,0,39,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",1,3,1,22,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",1,3,0,62,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,4,1,39,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",2,2,0,23,1,"Northeast",0,0,NA,NA,0
"Non-Recipient","Afro-Brazilian",3,3,0,31,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient",NA,2,2,1,45,1,"Northeast",0,0,NA,NA,0
"Recipient","Afro-Brazilian",2,3,1,35,1,"Northeast",1,1,"Opposition","Incumbent",0
"Non-Recipient","Other",3,NA,1,69,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",1,1,1,59,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",1,1,0,35,1,"Northeast",0,0,NA,NA,0
"Non-Recipient","Afro-Brazilian",2,3,1,41,1,"Northeast",1,1,"Opposition","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,3,1,23,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",3,2,1,16,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",2,1,1,64,1,"Northeast",0,0,NA,NA,0
"Recipient","Afro-Brazilian",1,2,1,27,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",2,2,1,53,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",4,2,0,20,1,"Northeast",1,1,"Opposition","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,NA,0,65,1,"Northeast",0,1,NA,"Incumbent",0
"Non-Recipient","Afro-Brazilian",2,3,1,32,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",3,4,1,31,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",3,3,0,23,1,"Northeast",0,0,NA,NA,0
"Non-Recipient","Afro-Brazilian",3,1,1,65,5,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Other",3,2,0,32,4,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",2,2,1,18,1,"Northeast",1,0,"Opposition",NA,0
"Recipient","Afro-Brazilian",2,1,1,60,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",2,NA,0,74,1,"Northeast",0,0,NA,NA,0
"Recipient","Afro-Brazilian",1,1,1,53,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Other",7,3,0,36,1,"Northeast",1,1,"Opposition","Incumbent",0
"Non-Recipient","Other",3,2,0,53,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",1,1,0,27,1,"Northeast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",1,1,1,40,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient",NA,3,1,0,63,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",2,4,1,30,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,4,1,34,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",3,1,0,25,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",3,1,1,68,1,"Northeast",0,0,NA,NA,0
"Non-Recipient",NA,1,3,1,18,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",1,3,0,23,1,"Northeast",1,1,"Opposition","Incumbent",0
"Recipient","Afro-Brazilian",3,NA,0,54,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",NA,2,0,19,1,"Northeast",0,1,NA,"Incumbent",0
"Non-Recipient","Other",3,3,1,54,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",1,2,1,38,1,"Northeast",0,1,NA,"Incumbent",0
"Recipient","Other",3,1,1,64,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,3,1,20,1,"Northeast",1,1,"Opposition","Opposition",0
"Recipient",NA,2,1,1,77,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",3,1,0,38,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",2,3,1,36,1,"Northeast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",1,2,0,39,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient",NA,1,2,1,50,1,"Northeast",0,1,NA,"Incumbent",0
"Non-Recipient","Afro-Brazilian",1,3,0,22,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",1,2,0,33,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",1,3,1,26,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",2,4,1,26,1,"Northeast",0,1,NA,"Opposition",0
"Non-Recipient","Afro-Brazilian",1,1,0,54,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",2,NA,0,69,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",3,3,0,29,5,"Northeast",1,1,"Opposition","Incumbent",0
"Recipient","Afro-Brazilian",3,2,1,33,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",3,3,0,30,1,"Northeast",0,1,NA,"Incumbent",0
"Recipient","Afro-Brazilian",3,3,1,30,1,"Northeast",1,1,"Opposition","Opposition",0
"Recipient","Other",2,3,1,35,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",3,1,1,55,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",2,2,1,22,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",1,3,1,24,1,"Northeast",0,1,NA,"Opposition",0
"Recipient","Afro-Brazilian",2,3,1,55,1,"Northeast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",3,2,0,41,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",1,1,0,21,1,"Northeast",0,0,NA,NA,0
"Non-Recipient","Afro-Brazilian",1,NA,0,60,1,"Northeast",0,0,NA,NA,0
"Non-Recipient","Afro-Brazilian",1,3,1,36,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",1,3,1,43,1,"Northeast",1,1,NA,NA,0
"Non-Recipient","Other",2,3,1,29,2,"Northeast",1,1,"Incumbent","Incumbent",1
"Non-Recipient","Afro-Brazilian",2,3,1,24,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",1,NA,1,55,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",1,3,0,33,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Other",2,1,1,51,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Other",2,3,1,41,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",2,3,0,29,5,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Other",1,1,1,32,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",1,1,0,58,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",2,1,0,49,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",1,NA,0,75,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",2,3,0,24,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",1,3,0,38,1,"Northeast",1,1,"Opposition","Incumbent",0
"Recipient","Afro-Brazilian",1,2,1,26,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Other",3,1,1,56,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient",NA,1,1,1,71,1,"Northeast",0,0,NA,NA,0
"Non-Recipient",NA,2,NA,0,82,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",1,NA,1,50,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",2,2,1,33,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",2,NA,0,51,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",1,2,0,30,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",1,3,1,20,1,"Northeast",1,1,"Opposition","Incumbent",0
"Non-Recipient","Other",3,3,0,20,4,"Northeast",1,1,"Opposition","Opposition",0
"Recipient","Other",1,2,1,51,3,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",2,1,0,42,1,"Northeast",0,1,NA,"Incumbent",0
"Recipient","Afro-Brazilian",1,1,0,24,1,"Northeast",0,0,NA,NA,0
"Recipient","Afro-Brazilian",3,2,1,39,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",1,3,1,30,1,"Northeast",1,1,NA,NA,0
"Recipient","Afro-Brazilian",1,NA,0,46,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",1,1,0,39,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",1,3,0,24,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",1,2,1,34,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",3,3,1,23,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,1,0,26,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",1,2,0,38,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient",NA,1,1,1,49,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",1,NA,1,65,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",1,1,1,44,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Other",NA,2,1,23,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,3,0,33,1,"Northeast",0,0,NA,NA,0
"Recipient","Afro-Brazilian",2,2,1,50,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",3,4,1,24,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",2,3,1,29,1,"Northeast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",1,3,1,27,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",2,2,0,41,1,"Northeast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",1,NA,1,55,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",1,1,0,56,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",NA,1,0,23,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient",NA,1,NA,0,68,1,"Northeast",1,1,"Opposition","Incumbent",0
"Non-Recipient","Afro-Brazilian",1,NA,1,39,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Other",2,3,0,30,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",NA,3,1,70,1,"Northeast",0,1,NA,"Opposition",0
"Non-Recipient","Other",5,4,1,29,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",2,2,0,24,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",NA,3,1,21,1,"Northeast",0,0,NA,NA,0
"Non-Recipient","Other",NA,4,1,55,1,"Northeast",1,1,NA,NA,0
"Non-Recipient","Other",NA,3,0,34,1,"Northeast",0,0,NA,NA,0
"Recipient",NA,2,2,1,53,1,"Northeast",0,1,NA,"Incumbent",0
"Non-Recipient","Other",3,4,0,37,1,"Northeast",1,1,"Opposition",NA,0
"Recipient","Other",3,3,0,49,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",NA,4,1,40,1,"Northeast",1,1,"Opposition","Incumbent",0
"Non-Recipient","Afro-Brazilian",2,1,1,54,1,"Northeast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",1,NA,0,63,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",3,1,0,53,1,"Northeast",0,0,NA,NA,0
"Recipient","Other",1,2,1,56,1,"Northeast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",1,3,0,27,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",3,3,1,41,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",1,5,1,34,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Other",3,2,0,19,1,"Northeast",0,0,NA,NA,0
"Recipient","Afro-Brazilian",2,NA,0,65,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,4,1,47,1,"Northeast",1,1,"Opposition","Incumbent",0
"Recipient","Afro-Brazilian",1,1,0,21,1,"Northeast",1,1,"Incumbent","Opposition",0
"Recipient","Afro-Brazilian",1,1,1,24,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",1,4,1,23,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,NA,1,74,1,"Northeast",0,0,NA,NA,0
"Non-Recipient","Afro-Brazilian",3,1,0,45,1,"Northeast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",3,3,0,16,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,3,0,19,1,"Northeast",0,0,NA,NA,0
"Recipient","Other",1,NA,1,50,1,"Northeast",1,1,"Incumbent","Opposition",0
"Recipient","Afro-Brazilian",2,2,0,28,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",3,2,1,37,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",2,3,1,26,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",1,1,1,34,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient",NA,2,4,1,76,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",1,NA,0,66,1,"Northeast",0,0,NA,NA,0
"Recipient","Afro-Brazilian",1,3,1,21,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",1,1,0,25,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",2,1,1,39,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",5,3,1,44,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",2,2,1,69,1,"Northeast",1,1,"Opposition","Opposition",0
"Recipient","Other",2,3,0,25,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",4,4,0,63,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",1,1,1,54,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,5,1,32,1,"Northeast",1,1,"Opposition","Incumbent",0
"Non-Recipient",NA,2,1,1,72,1,"Northeast",0,1,NA,"Opposition",0
"Non-Recipient","Afro-Brazilian",2,3,1,45,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",2,3,1,25,1,"Northeast",1,1,"Opposition","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,2,0,39,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",2,3,0,49,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient",NA,NA,2,0,18,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",2,2,1,25,1,"Northeast",1,1,"Opposition","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,4,1,25,1,"Northeast",1,1,"Opposition","Incumbent",0
"Recipient","Afro-Brazilian",2,3,1,59,1,"Northeast",0,0,NA,NA,0
"Recipient","Afro-Brazilian",2,2,1,38,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",1,2,0,72,1,"Northeast",0,0,NA,NA,0
"Non-Recipient","Afro-Brazilian",4,4,0,48,1,"Northeast",1,1,"Incumbent","Opposition",0
"Recipient","Afro-Brazilian",1,3,0,40,1,"Northeast",1,1,"Opposition","Incumbent",0
